sample,phase,active_joint,read_start_s,position_read_end_s,velocity_read_end_s,write_start_s,write_end_s,left_hip_yaw_target_rad,left_hip_roll_target_rad,left_hip_pitch_target_rad,left_knee_target_rad,left_ankle_target_rad,neck_pitch_target_rad,head_pitch_target_rad,head_yaw_target_rad,head_roll_target_rad,right_hip_yaw_target_rad,right_hip_roll_target_rad,right_hip_pitch_target_rad,right_knee_target_rad,right_ankle_target_rad,left_hip_yaw_actual_rad,left_hip_roll_actual_rad,left_hip_pitch_actual_rad,left_knee_actual_rad,left_ankle_actual_rad,neck_pitch_actual_rad,head_pitch_actual_rad,head_yaw_actual_rad,head_roll_actual_rad,right_hip_yaw_actual_rad,right_hip_roll_actual_rad,right_hip_pitch_actual_rad,right_knee_actual_rad,right_ankle_actual_rad,left_hip_yaw_velocity_rad_s,left_hip_roll_velocity_rad_s,left_hip_pitch_velocity_rad_s,left_knee_velocity_rad_s,left_ankle_velocity_rad_s,neck_pitch_velocity_rad_s,head_pitch_velocity_rad_s,head_yaw_velocity_rad_s,head_roll_velocity_rad_s,right_hip_yaw_velocity_rad_s,right_hip_roll_velocity_rad_s,right_hip_pitch_velocity_rad_s,right_knee_velocity_rad_s,right_ankle_velocity_rad_s
0,baseline,,1.2906999927508878e-05,0.0024242479998974886,0.004397585000106119,0.004407456000080856,0.004585005000080855,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.11868375267409226,0.020647790466483962,-0.0337475773334841,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.015510250188621635,-0.03644056582777239,-0.05696181992348685,0.0,-0.0,0.15343553863686413,-0.5370243852290244,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,-0.6137421545474565,0.0
1,baseline,,0.02009510700008832,0.02213196100001369,0.02409379899995656,0.024110223999969094,0.024302587999954994,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.04601942363656919,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.017044230976506994,-0.05024639291874284,-0.05696181992348685,-0.07671776931843206,-0.0,0.07671776931843206,-0.6904599238658886,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,-0.6137421545474565,0.0
2,baseline,,0.040095106000080705,0.04215123700009826,0.04422436799995921,0.04423714499989728,0.04444787800002814,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.06135923151542544,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.06405222000971372,-0.05696181992348685,0.0,-0.0,-0.0,-0.6904599238658886,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,-0.6904599238658886,0.0
3,baseline,,0.06009090199995626,0.06213540399994599,0.06412092599998687,0.06413124100004097,0.06433577100006005,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.07516505860639633,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.07785804710068461,-0.05696181992348685,0.0,-0.0,-0.0,-0.6904599238658886,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.7671776931843206,0.0
4,baseline,,0.08009058600009666,0.08211325499996747,0.08410579599990342,0.08411609199993109,0.08431541899994954,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.08897088569736722,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.0901298934037697,-0.05696181992348685,0.0,-0.0,-0.0,-0.6904599238658886,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.6137421545474565,0.0
5,baseline,,0.10009188100002575,0.10214551300009589,0.10413759099992603,0.10415103500008627,0.1043614529999104,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.11868375267409226,0.022181771254369764,-0.0997087512125665,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.015510250188621635,-0.10086775891896899,-0.05696181992348685,0.0,-0.0,-0.0,-0.6137421545474565,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.15343553863686413,-0.5370243852290244,0.0
6,baseline,,0.12009212099997058,0.1221358830000554,0.12411996099990574,0.12413268299997071,0.12434102699990035,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.020647790466483962,-0.10891263593988043,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.01244228861285003,-0.11007164364628291,-0.05696181992348685,0.07671776931843206,-0.0,-0.07671776931843206,-0.5370243852290244,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.15343553863686413,-0.4603066159105924,0.0
7,baseline,,0.14009130599993114,0.14213377100008984,0.14412099700007275,0.144132978000016,0.1443399889999455,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.019113809678598603,-0.1150485590914232,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.01244228861285003,-0.11774154758571104,-0.05696181992348685,0.0,0.07671776931843206,-0.07671776931843206,-0.3835888465921603,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.3835888465921603,0.0
8,baseline,,0.16009258300005058,0.16215154699989398,0.16413442199996098,0.1641464399999677,0.16435265499990237,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.0175798288907128,-0.12271846303085132,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.010908307824964672,-0.122343489949368,-0.05696181992348685,0.0,-0.0,-0.07671776931843206,-0.3835888465921603,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.07671776931843206,-0.30687107727372825,0.0
9,baseline,,0.1800925449999795,0.18216897199999948,0.18416230899993025,0.1841771049998897,0.18438907900008417,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.0175798288907128,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.010908307824964672,-0.1238774707372538,-0.05696181992348685,0.0,-0.0,-0.0,-0.30687107727372825,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.07671776931843206,0.0
